Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",,F9 v1.07B0003.18,4 June 2010,18:45
1,CCAFS,Dragon,0,LEO,NASA,Success,,Failure,4 June 2010,15:43
2,CCAFS,Dragon,525 kg,LEO,NASA,Success,,F9 v1.07B0004.18,8 December 2010,07:44
3,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",,Failure,22 May 2012,00:35
4,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",,F9 v1.07B0005.18,8 October 2012,15:10
5,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,,"No attempt
",1 March 2013,16:00
6,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,,F9 v1.07B0006.18,29 September 2013,22:41
7,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,,No attempt,3 December 2013,22:06
8,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",,F9 v1.07B0007.18,6 January 2014,19:25
9,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,,"No attempt
",18 April 2014,15:15
10,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,,F9 v1.17B10038,14 July 2014,08:00
11,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,,Uncontrolled,5 August 2014,05:00
12,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,,F9 v1.1,7 September 2014,05:52
13,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,,No attempt,21 September 2014,09:47
14,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",,F9 v1.1,10 January 2015,23:03
15,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",,No attempt,11 February 2015,03:50
16,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",,F9 v1.1,2 March 2015,20:10
17,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",,Controlled,14 April 2015,23:03
18,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,,F9 v1.1,27 April 2015,14:21
19,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",,Controlled,28 June 2015,01:29
20,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",,F9 v1.1,22 December 2015,18:42
21,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",,No attempt,17 January 2016,23:35
22,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,,F9 v1.1[,4 March 2016,20:43
23,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",,"No attempt
",8 April 2016,05:21
24,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",,F9 v1.1[,6 May 2016,21:39
